108247b1-c4a5-463c-880d-8549a3c1f87f,280aee67-ddea-4495-9c63-9ac2cd788a98,28748ee5-9f45-4511-a600-accff47cf71d,2a2aa7d8-122a-4617-883e-5dbf850dda9d,2d9444bd-9f9c-4bd5-8837-0fcb5e3536fa,32441acd-2c64-4580-b12d-202de4e6ece9,39075e13-8685-4b48-b7c1-9d79094b2c6c,3978bd9b-7cbe-442f-bf20-16ee16533ea5,40758d96-75a0-4d43-9690-14a89cb5d94e,466c9f39-a79b-4bd4-bc0d-ff35654e9d3a,5055e7e1-ba13-47a1-96c0-1c6652c57420,505ee989-fb21-4e3d-a5d4-07a988b1ec7b,5211b3cd-fe32-442b-8391-f168126a0615,5c5fe3eb-da7e-4e72-9b6d-e63a899045e8,5e20132c-ef57-4ebb-b2aa-f50544b3120f,5f851e62-7723-44c2-936f-409495561b99,61675643-8d8f-48bd-bbc6-a89f480d9227,686002d8-829a-440f-8c96-c5bdd4ca77a4,6c816e58-381c-474f-8896-4f97e6f0a9cd,6d0162ab-5c7e-462c-878a-a88f109d703c,6e910392-81dd-45e7-af17-3df6e9caa75c,71ac6374-1cf9-4007-beda-2036a775ae39,73e00005-5548-4847-b85f-4885d0f9bb67,7603991f-62c9-4e57-a722-c565aaa2fa32,87e77f44-b7b0-4c2e-84e4-b9cf60802fa8,892891d1-fca3-42eb-a802-9b24224ad4a3,8a33d536-13af-40a4-b3de-426f805c2893,8e887a1d-0a49-4164-af62-a9ad779247ab,8eaa2eef-45fe-4de7-a535-25e00b84ad02,97b008fd-29c5-46eb-85a8-17fd4fcba6d1,9be1d1fc-7699-4ce6-bc51-9ddeea1b8c77,9da5a41a-1bcf-4719-a64e-161409652771,a01d71ba-6344-457b-ae3a-6a398f125f3c,a29893ba-6c99-4a46-870d-1acba1769f04,a490e8b5-cb28-4096-a16f-fdd1a0b8b28b,a4fd4b98-cf38-4e79-9306-7e6902886bbe,a5a2827e-4ede-4179-b84b-a3043c765e29,a719f414-b1b8-4527-b98d-cf2ae1af3c41,a7efc0f1-369c-4784-828a-4dce1da685e3,aada21eb-3da7-4be3-951a-7581b596f461,ab039a15-4dee-4a82-9281-e86d82f91440,af262ce1-17d9-4c1b-bed8-682bbf58a406,b78034b2-b24f-472d-ac87-dd26e2beb78c,be779f4b-ecc6-4fe5-b69a-ba1df3f7aecc,c5a4394d-cb7d-40c6-acbb-ec5f88ab0f91,c676b033-3ed8-45c0-8ad1-3bd6b873c06a,c789c82a-a4d2-4a0f-852e-5fceedab15e3,c92f5b28-93f5-4994-affa-b7578bdee8a0,ca3d3ae4-b854-4bed-825c-e863a81db00f,cbef171d-b801-46a7-ba40-6aac47734556,d1b2ec97-cacb-4368-8095-16e34a21103d,e04d3c7a-9f3b-44d5-a3dd-df5a41c6bcca,e2237876-d3cd-41df-8127-79cb48e4397f,ea524c0e-1f66-415b-90d4-67813a2f906e,ec1b1749-271d-452f-8220-894bbdc0f34e
0.0,4.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,5.0,1.0,3.0,2.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0
4.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,4.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,4.0,5.0,0.0,3.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,2.0,3.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,4.0,0.0,0.0,4.0,1.0,0.0,4.0,2.0,3.0,0.0,3.0,4.0,0.0
3.0,0.0,0.0,2.0,3.0,5.0,0.0,3.0,5.0,1.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,5.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0
0.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,3.0,3.0,4.0,0.0,2.0,0.0,0.0,3.0,5.0,0.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,5.0,4.0,0.0,0.0,0.0,4.0,5.0,2.0,5.0,3.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,4.0,2.0,5.0,0.0,4.0,0.0,2.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,4.0,0.0,1.0,2.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,5.0,0.0
0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,5.0,0.0,5.0,3.0,0.0,4.0,2.0,4.0,3.0,0.0,0.0,5.0,3.0,0.0,4.0,5.0,1.0,0.0,2.0,3.0,5.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
3.0,4.0,0.0,1.0,3.0,0.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,0.0,0.0,5.0,4.0,3.0,3.0,5.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,4.0,4.0,0.0,4.0,3.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,4.0,5.0,5.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0
0.0,3.0,4.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,4.0,0.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,3.0,3.0,0.0,4.0
0.0,0.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,4.0,3.0,2.0,1.0,3.0,0.0,4.0,4.0,3.0,4.0,3.0
0.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,5.0,0.0,4.0,3.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,5.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0
5.0,5.0,0.0,2.0,5.0,0.0,0.0,0.0,5.0,4.0,5.0,3.0,0.0,4.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,0.0
0.0,3.0,4.0,3.0,3.0,0.0,0.0,5.0,5.0,3.0,5.0,3.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,5.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0,0.0,4.0,2.0,4.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,5.0,3.0,0.0,4.0
4.0,0.0,0.0,4.0,0.0,3.0,0.0,5.0,5.0,3.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,3.0,4.0,0.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,2.0,0.0,4.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0
4.0,0.0,4.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,4.0,5.0,2.0,0.0,5.0,0.0,0.0,0.0,4.0,2.0,3.0,5.0,0.0,0.0,4.0,0.0,0.0,5.0,4.0,0.0,1.0,2.0,4.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0
4.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,3.0,3.0,0.0,2.0,0.0,4.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0
0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,2.0,0.0,0.0,5.0,0.0,5.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,4.0,5.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,2.0,3.0,4.0,4.0,0.0,5.0,0.0,4.0,0.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,5.0,5.0,0.0,0.0,5.0,4.0,5.0,2.0,0.0,5.0,0.0,5.0,4.0
0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,4.0,5.0,0.0,4.0,5.0,0.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,0.0,0.0,4.0
0.0,4.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0
3.0,4.0,0.0,0.0,3.0,0.0,5.0,3.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,5.0,3.0,5.0,2.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,5.0,3.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,4.0,4.0,0.0,0.0,4.0
0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,3.0,3.0,4.0,3.0,0.0,0.0,3.0,4.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,5.0,4.0
3.0,0.0,5.0,3.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,4.0,3.0,0.0,4.0,0.0,0.0,4.0,5.0,0.0,5.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,4.0
5.0,4.0,4.0,5.0,0.0,3.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,4.0,4.0,2.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,5.0,0.0,2.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,5.0,2.0,0.0,4.0,0.0,4.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,5.0,5.0,3.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0
0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,4.0,2.0,0.0,4.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,3.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0
3.0,0.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,5.0,3.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,3.0,4.0,3.0,3.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,4.0,5.0,0.0
3.0,0.0,5.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,5.0,3.0,5.0,4.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,4.0,4.0,4.0,3.0,4.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,4.0,4.0
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,4.0,3.0,0.0,3.0,4.0,4.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0
0.0,0.0,5.0,2.0,3.0,4.0,0.0,4.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,3.0,3.0,4.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,4.0
5.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,5.0,5.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,5.0,4.0,0.0,5.0,5.0,4.0,4.0,0.0,0.0,4.0,0.0,5.0
4.0,3.0,0.0,2.0,5.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,2.0,5.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,3.0,0.0
4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,3.0,0.0,4.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0,4.0,4.0,0.0,0.0,5.0,4.0
3.0,3.0,4.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,4.0,0.0,3.0,0.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,3.0,4.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
4.0,4.0,5.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,4.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,4.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,3.0,0.0,5.0,4.0
0.0,4.0,0.0,0.0,4.0,2.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,3.0,3.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0
3.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,5.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0
0.0,4.0,5.0,0.0,3.0,0.0,0.0,3.0,5.0,2.0,3.0,0.0,3.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,5.0,3.0,4.0,0.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,4.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0,0.0,4.0,3.0,2.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,5.0,2.0,5.0,0.0,3.0,4.0,4.0,4.0,4.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0
0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,5.0,3.0,5.0,3.0,4.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,3.0,0.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,5.0,4.0,0.0,4.0,5.0,0.0,0.0,4.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,3.0,4.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,5.0,2.0,3.0,3.0,0.0,3.0,5.0,4.0
0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0
